model1,1.000000,112.355372,0.010000,100.000000,0.000336
model2,1.000000,55.058431,0.010000,100.000000,0.000427
model3,1.000000,26.990328,0.010000,100.000000,0.000542
model4,1.000000,13.236957,0.010000,100.000000,0.000688
model5,1.000000,6.495554,0.010000,100.000000,0.000873
model6,1.000000,3.189765,0.010000,100.000000,0.001110
model7,1.000000,1.567831,0.010000,100.000000,0.001410
model8,1.000000,0.771514,0.010000,100.000000,0.001793
model9,1.000000,0.380213,0.010000,100.000000,0.002280
model10,1.000000,0.187723,0.010000,100.000000,0.002902
model11,1.000000,0.092902,0.010000,100.000000,0.003696
model12,1.000000,0.046113,0.010000,100.000000,0.004713
model13,1.000000,0.022974,0.010000,100.000000,0.006017
model14,1.000000,0.011500,0.010000,100.000000,0.007693
model15,1.000000,0.005790,0.010000,100.000000,0.009857
model16,1.000000,0.002937,0.010000,100.000000,0.012663
model17,1.000000,0.001503,0.010000,100.000000,0.016319
model18,1.000000,0.000778,0.010000,100.000000,0.021117
model19,1.000000,0.000409,0.010000,100.000000,0.027465
model20,1.000000,0.000218,0.010000,100.000000,0.035949
model21,1.000000,0.000119,0.010000,100.000000,0.047430
model22,1.000000,0.000067,0.010000,100.000000,0.063194
model23,1.000000,0.000038,0.010000,100.000000,0.085217
model24,1.000000,0.000023,0.010000,100.000000,0.116605
model25,1.000000,0.000014,0.010000,100.000000,0.162368
model26,1.000000,0.000009,0.010000,100.000000,0.230789
model27,1.000000,0.000006,0.010000,100.000000,0.335900
model28,1.000000,0.000004,0.010000,100.000000,0.502025
model29,1.000000,0.000003,0.010000,100.000000,0.772242
model30,1.000000,0.000002,0.010000,100.000000,1.224279
model31,1.000000,112.413876,0.016379,100.000000,0.000336
model32,1.000000,55.094801,0.016379,100.000000,0.000427
model33,1.000000,27.012944,0.016379,100.000000,0.000542
model34,1.000000,13.251026,0.016379,100.000000,0.000688
model35,1.000000,6.504310,0.016379,100.000000,0.000874
model36,1.000000,3.195217,0.016379,100.000000,0.001110
model37,1.000000,1.571228,0.016379,100.000000,0.001411
model38,1.000000,0.773633,0.016379,100.000000,0.001794
model39,1.000000,0.381536,0.016379,100.000000,0.002283
model40,1.000000,0.188550,0.016379,100.000000,0.002906
model41,1.000000,0.093420,0.016379,100.000000,0.003703
model42,1.000000,0.046438,0.016379,100.000000,0.004724
model43,1.000000,0.023179,0.016379,100.000000,0.006035
model44,1.000000,0.011629,0.016379,100.000000,0.007723
model45,1.000000,0.005873,0.016379,100.000000,0.009905
model46,1.000000,0.002990,0.016379,100.000000,0.012740
model47,1.000000,0.001537,0.016379,100.000000,0.016445
model48,1.000000,0.000800,0.016379,100.000000,0.021323
model49,1.000000,0.000423,0.016379,100.000000,0.027803
model50,1.000000,0.000228,0.016379,100.000000,0.036506
model51,1.000000,0.000125,0.016379,100.000000,0.048352
model52,1.000000,0.000071,0.016379,100.000000,0.064732
model53,1.000000,0.000041,0.016379,100.000000,0.087801
model54,1.000000,0.000025,0.016379,100.000000,0.120986
model55,1.000000,0.000016,0.016379,100.000000,0.169872
model56,1.000000,0.000010,0.016379,100.000000,0.243789
model57,1.000000,0.000007,0.016379,100.000000,0.358704
model58,1.000000,0.000005,0.016379,100.000000,0.542561
model59,1.000000,0.000004,0.016379,100.000000,0.845283
model60,1.000000,0.000003,0.016379,100.000000,1.357672
model61,1.000000,112.480196,0.026827,100.000000,0.000336
model62,1.000000,55.136035,0.026827,100.000000,0.000427
model63,1.000000,27.038589,0.026827,100.000000,0.000542
model64,1.000000,13.266981,0.026827,100.000000,0.000688
model65,1.000000,6.514242,0.026827,100.000000,0.000874
model66,1.000000,3.201403,0.026827,100.000000,0.001111
model67,1.000000,1.575085,0.026827,100.000000,0.001412
model68,1.000000,0.776040,0.026827,100.000000,0.001796
model69,1.000000,0.383040,0.026827,100.000000,0.002286
model70,1.000000,0.189491,0.026827,100.000000,0.002911
model71,1.000000,0.094011,0.026827,100.000000,0.003711
model72,1.000000,0.046809,0.026827,100.000000,0.004737
model73,1.000000,0.023413,0.026827,100.000000,0.006055
model74,1.000000,0.011778,0.026827,100.000000,0.007756
model75,1.000000,0.005967,0.026827,100.000000,0.009959
model76,1.000000,0.003050,0.026827,100.000000,0.012828
model77,1.000000,0.001576,0.026827,100.000000,0.016589
model78,1.000000,0.000826,0.026827,100.000000,0.021558
model79,1.000000,0.000440,0.026827,100.000000,0.028189
model80,1.000000,0.000239,0.026827,100.000000,0.037144
model81,1.000000,0.000133,0.026827,100.000000,0.049412
model82,1.000000,0.000076,0.026827,100.000000,0.066505
model83,1.000000,0.000045,0.026827,100.000000,0.090791
model84,1.000000,0.000028,0.026827,100.000000,0.126076
model85,1.000000,0.000018,0.026827,100.000000,0.178632
model86,1.000000,0.000012,0.026827,100.000000,0.259046
model87,1.000000,0.000008,0.026827,100.000000,0.385619
model88,1.000000,0.000006,0.026827,100.000000,0.590687
model89,1.000000,0.000005,0.026827,100.000000,0.932522
model90,1.000000,0.000004,0.026827,100.000000,1.517946
model91,1.000000,112.555355,0.043940,100.000000,0.000336
model92,1.000000,55.182770,0.043940,100.000000,0.000427
model93,1.000000,27.067659,0.043940,100.000000,0.000542
model94,1.000000,13.285072,0.043940,100.000000,0.000688
model95,1.000000,6.525506,0.043940,100.000000,0.000875
model96,1.000000,3.208421,0.043940,100.000000,0.001112
model97,1.000000,1.579462,0.043940,100.000000,0.001414
model98,1.000000,0.778772,0.043940,100.000000,0.001798
model99,1.000000,0.384748,0.043940,100.000000,0.002289
model100,1.000000,0.190561,0.043940,100.000000,0.002917
model101,1.000000,0.094682,0.043940,100.000000,0.003720
model102,1.000000,0.047232,0.043940,100.000000,0.004751
model103,1.000000,0.023680,0.043940,100.000000,0.006079
model104,1.000000,0.011947,0.043940,100.000000,0.007794
model105,1.000000,0.006075,0.043940,100.000000,0.010021
model106,1.000000,0.003119,0.043940,100.000000,0.012928
model107,1.000000,0.001621,0.043940,100.000000,0.016753
model108,1.000000,0.000855,0.043940,100.000000,0.021826
model109,1.000000,0.000459,0.043940,100.000000,0.028631
model110,1.000000,0.000252,0.043940,100.000000,0.037876
model111,1.000000,0.000142,0.043940,100.000000,0.050632
model112,1.000000,0.000083,0.043940,100.000000,0.068552
model113,1.000000,0.000050,0.043940,100.000000,0.094257
model114,1.000000,0.000031,0.043940,100.000000,0.132004
model115,1.000000,0.000020,0.043940,100.000000,0.188885
model116,1.000000,0.000014,0.043940,100.000000,0.277002
model117,1.000000,0.000010,0.043940,100.000000,0.417484
model118,1.000000,0.000007,0.043940,100.000000,0.648014
model119,1.000000,0.000006,0.043940,100.000000,1.037082
model120,1.000000,0.000005,0.043940,100.000000,1.711197
model121,1.000000,112.640510,0.071969,100.000000,0.000336
model122,1.000000,55.235728,0.071969,100.000000,0.000427
model123,1.000000,27.100607,0.071969,100.000000,0.000542
model124,1.000000,13.305580,0.071969,100.000000,0.000689
model125,1.000000,6.538279,0.071969,100.000000,0.000875
model126,1.000000,3.216383,0.071969,100.000000,0.001113
